file_name,lat,lon,Temperature__mean,Temperature__min,Temperature__max,Temperature__std,Globe Temperature__mean,Globe Temperature__min,Globe Temperature__max,Globe Temperature__std,Relative Humidity__mean,Relative Humidity__min,Relative Humidity__max,Relative Humidity__std,Wind Speed__mean,Wind Speed__min,Wind Speed__max,Wind Speed__std,Wet Bulb Globe Temperature__mean,Wet Bulb Globe Temperature__min,Wet Bulb Globe Temperature__max,Wet Bulb Globe Temperature__std,n_points
HEAT_-_3080892_Apr_16_2026_5_24_26_PM.csv,30.2895642,-97.7366761,87.57004048582998,86.4,89.6,0.7584169959973535,93.5910931174089,91.6,101.0,2.1461824728435936,47.91052631578947,45.3,49.4,0.9641387571319024,7.357489878542511,1.4,16.7,3.2052317773990002,78.10890688259107,77.0,81.7,1.168732905806555,247
HEAT_-_3080892_Apr_16_2026_4_41_45_PM.csv,30.2874535,-97.7370375,92.172,88.9,97.7,2.0314701493602945,112.90799999999999,111.0,115.1,1.187339123228231,43.6888,39.7,45.8,1.4818371335347822,2.0479999999999996,0.0,8.0,1.3959388100093508,86.22319999999998,84.8,87.5,0.7540360220709917,125
HEAT_-_3080892_Apr_17_2026_11_32_25_AM.csv,30.2896406,-97.7361245,80.07190082644627,79.2,81.3,0.49534889059730197,89.5487603305785,87.9,93.6,1.3864292085834098,62.95123966942148,61.5,64.2,0.5457587535531516,6.028099173553719,0.0,16.9,3.440111992859531,76.6289256198347,75.8,78.1,0.5529373105709976,121
HEAT_-_3080892_Apr_16_2026_3_57_25_PM.csv,30.2891622,-97.7367369,88.03583333333333,86.1,92.9,1.368910247644616,110.00166666666664,108.8,111.0,0.5455678305243833,48.51833333333334,43.8,50.4,1.3516241915495861,5.975833333333332,0.0,17.0,3.2377239602191277,84.94666666666667,83.6,85.6,0.4577866615040037,120
HEAT_-_3080892_Apr_17_2026_10_55_04_AM.csv,30.289493,-97.7391176,79.07704918032785,77.1,81.3,0.8583846914717438,93.41967213114754,86.3,100.2,4.569276473898181,66.50163934426229,64.6,68.7,1.031726756586945,4.7065573770491795,0.0,12.5,2.45265036960502,77.99918032786886,74.9,80.9,1.8518026018731122,122
HEAT_-_3080884_Apr_17_2026_10_25_34_AM.csv,30.2885385,-97.7371161,81.65249999999999,79.1,88.1,1.8254486037799087,-1.1308333333333331,-2.0,-0.2,0.5000497174161344,64.8825,57.7,68.9,2.121148511633111,0.21583333333333332,0.0,4.9,0.6896590112662397,57.858333333333334,56.6,59.1,0.5730037812557036,120
HEAT_-_3080884_Apr_17_2026_11_22_04_AM.csv,30.2893866,-97.7357349,80.21583333333332,78.7,82.5,0.9459329868898082,42.972500000000004,37.4,47.8,1.9072600127676662,63.46833333333334,61.0,65.5,1.2421168792576218,3.3033333333333332,0.0,12.9,2.6051962726534876,65.74,64.9,66.6,0.36308667391286725,120
HeatMapping_firstLocation_GROUP5.csv.csv,30.2883867,-97.7362326,96.62231404958679,89.7,101.7,2.120868045687339,29.535537190082646,20.3,38.3,3.811427105956775,39.25785123966942,34.7,43.3,1.739192919436853,0.9231404958677685,0.0,7.1,1.4721164090394085,67.65289256198348,64.3,70.3,1.3924244072938208,121
HEAT_-_3080892_Apr_17_2026_10_22_39_AM.csv,30.2875128,-97.73706,80.01583333333333,76.9,83.5,1.3011950443409195,93.69833333333334,81.8,99.2,4.81675966490625,67.35333333333332,63.2,71.6,1.7937301321867913,2.164166666666667,0.0,6.6,1.4493577733541405,78.24166666666666,73.0,80.4,2.070260947841327,120
HEAT_-_3080892_Apr_17_2026_12_28_39_PM.csv,30.2885526,-97.7376497,82.06500000000001,81.1,83.2,0.5709567379746519,90.42750000000001,89.5,91.3,0.6261745266418363,58.48500000000001,57.3,59.4,0.6630271804510033,2.8358333333333334,0.0,8.3,1.647753542461578,77.01583333333333,76.5,77.5,0.31596080847630087,120
