Device Name,HEAT - 3080884
Device Model,5400CL
Serial Number,3080884
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,°F,Deg,w/m2,°F,°F
2026-04-17 11:51:30 AM,82.3,72.0,29.3,61.7,29.34,530,29.34,0.0,85.5,67.9,2454,0.0,0.0,233,71.9,233,320.0,64.3,82.2,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:34 AM,82.4,72.1,28.9,61.7,29.34,530,29.34,2.0,85.8,67.9,2462,2.0,-0.6,253,71.9,253,320.0,64.3,82.4,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:39 AM,82.1,71.8,31.1,61.6,29.34,532,29.34,5.4,85.1,67.6,2437,4.5,-3.1,235,71.9,235,320.0,64.7,82.0,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:44 AM,82.2,72.0,32.5,61.4,29.34,530,29.34,4.3,85.5,67.6,2434,4.1,-1.3,253,71.9,253,320.0,64.9,82.2,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:49 AM,82.5,72.1,33.8,61.8,29.34,530,29.34,3.9,85.8,68.0,2464,3.8,1.2,287,72.2,287,320.0,65.5,82.4,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:54 AM,82.4,72.1,34.9,61.8,29.34,530,29.34,5.4,85.8,68.0,2467,5.2,1.5,286,72.2,286,320.0,65.7,82.4,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:51:59 AM,82.0,71.6,37.2,61.3,29.35,527,29.35,6.0,84.6,67.3,2422,6.0,0.9,279,72.0,279,320.0,66.0,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:04 AM,81.9,71.6,37.9,60.9,29.35,530,29.35,2.1,84.6,67.1,2419,2.0,0.5,285,71.8,285,320.0,66.0,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:09 AM,82.0,71.6,38.1,60.7,29.35,527,29.35,4.5,84.6,67.0,2419,3.8,2.4,302,71.8,302,320.0,66.0,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:14 AM,81.9,71.4,38.5,60.6,29.35,530,29.35,3.0,84.6,66.9,2417,2.6,1.5,300,71.8,300,320.0,66.1,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:19 AM,81.9,71.6,39.2,60.6,29.35,527,29.35,4.7,84.6,67.0,2419,1.6,4.4,340,71.8,340,320.0,66.3,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:24 AM,82.0,71.6,39.6,60.9,29.35,530,29.35,0.0,84.6,67.2,2422,0.0,0.0,304,71.8,304,320.0,66.3,81.9,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:29 AM,82.2,72.0,39.0,61.2,29.35,530,29.35,0.0,85.3,67.6,2439,0.0,0.0,307,72.0,307,320.0,66.3,82.2,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:34 AM,82.5,72.1,38.3,61.5,29.35,530,29.35,2.1,85.8,67.9,2457,1.4,1.6,319,72.0,319,320.0,66.2,82.4,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
2026-04-17 11:52:39 AM,82.7,72.3,38.1,61.5,29.35,530,29.35,2.0,86.2,68.1,2479,0.4,2.0,348,72.0,348,320.0,66.2,82.6,session,"Session - Apr 17, 2026 11:50:38 AM",2026-04-17 11:50:38 AM 11:50:38 AM,00:10:00,Between EER and Energy Engineering Building,"2501 Speedway, Austin, TX 78712, USA","https://www.google.com/maps/search/?api=1&query=30.2876728,-97.7351866","Buildings on all sides, partially cloudy, and trees around, so it was partially shaded. The sun still came out in spurts and there was a decent amount of wind. Walkway 30 feet away with some foot traffic."
